id,Title,Slug,Permalink
70,"Things to Know About Snorkeling in Nha Trang",snorkeling-in-nha-trang,http://localhost/vietnamchronicles.com/snorkeling-in-nha-trang/
71,"Vietnam Bucket List - 14 Inspiring Experiences",vietnam-bucket-list,http://localhost/vietnamchronicles.com/vietnam-bucket-list/
72,"Day Trip to Son Tra Peninsula (2020 Updated)",son-tra-peninsula,http://localhost/vietnamchronicles.com/son-tra-peninsula/
73,"What is the Best Working Cafe in Da Nang? (2019 Updated)",working-cafes-in-da-nang,http://localhost/vietnamchronicles.com/working-cafes-in-da-nang/
74,"Border Crossing From Vietnam to Laos With Motorbike (Lao Bao)",border-crossing-vietnam-laos-motorbike,http://localhost/vietnamchronicles.com/border-crossing-vietnam-laos-motorbike/
75,"All You Have to Know About Weed in Saigon",weed-in-saigon,http://localhost/vietnamchronicles.com/weed-in-saigon/
76,"All You Have to Know About Weed in Mui Ne",weed-in-mui-ne,http://localhost/vietnamchronicles.com/weed-in-mui-ne/
77,"10 Vietnamese Street Food Dishes You Have to Try",vietnamese-street-food,http://localhost/vietnamchronicles.com/vietnamese-street-food/
78,"Things to Know Before Doing a Motorbike Trip in Vietnam",motorbike-trip-in-vietnam,http://localhost/vietnamchronicles.com/motorbike-trip-in-vietnam/
79,"Learn Everything About Bia Hoi (Cheapest Beer in the World!)",bia-hoi-vietnam,http://localhost/vietnamchronicles.com/bia-hoi-vietnam/
80,"Prao Loop - A Magnificent Trip From Da Nang",prao-loop,http://localhost/vietnamchronicles.com/prao-loop/
81,"Da Nang Waterfalls - Day Trip to Suoi Mo Hoa Bac",da-nang-waterfalls,http://localhost/vietnamchronicles.com/da-nang-waterfalls/
82,"When is the Best Time to Visit Da Nang?",best-time-to-visit-da-nang,http://localhost/vietnamchronicles.com/best-time-to-visit-da-nang/
83,"[Day 1] - Exploring Saigon, Reunion Time and Recovering from Jet Lag",day-1,http://localhost/vietnamchronicles.com/day-1/
84,"[Day 3] - Looking for Motorcycles in Saigon - Part Two",day-3,http://localhost/vietnamchronicles.com/day-3/
85,"[Day 2] - Looking for Motorcycles in Saigon - Part One",day-2,http://localhost/vietnamchronicles.com/day-2/
86,"[Day 4] Finally Buying the Bikes and Exploring the Ben Thanh Market",day-4,http://localhost/vietnamchronicles.com/day-4/
87,"[Day 5] Crossing the Border to Cambodia!",day-5,http://localhost/vietnamchronicles.com/day-5/
88,"[Day 6] Riding from Neak Loeung to Phnom Penh!",day-6,http://localhost/vietnamchronicles.com/day-6/
89,"[Day 7] Exploring the Central Market and the Surrounding Areas in Phnom Penh!",day-7,http://localhost/vietnamchronicles.com/day-7/
90,"[Day 8] Exploring the Calmer Part of Phnom Penh!",day-8,http://localhost/vietnamchronicles.com/day-8/
91,"[Day 9] S-21 and the Mekong River Cruise in Phnom Penh",day-9,http://localhost/vietnamchronicles.com/day-9/
92,"[Day 10] Riding from Phnom Penh to Kampong Thom!",day-10,http://localhost/vietnamchronicles.com/day-10/
93,"[Day 11] Hiking Up Phnom Santuk!",day-11,http://localhost/vietnamchronicles.com/day-11/
94,"[Day 12] Discovering the Jungle Temples in Kampong Thom!",day-12-discovering-the-jungle-temples-in-kampong-thom,http://localhost/vietnamchronicles.com/day-12-discovering-the-jungle-temples-in-kampong-thom/
95,"3 Days in Da Nang Itinerary - Things to Do, Where to Stay, What to Eat?",3-days-in-da-nang,http://localhost/vietnamchronicles.com/3-days-in-da-nang/
96,"12 Lightweight Souvenirs From Vietnam",souvenirs-from-vietnam,http://localhost/vietnamchronicles.com/souvenirs-from-vietnam/
97,"13 Amazing Things to Do in Nakai, Laos",things-to-do-in-nakai,http://localhost/vietnamchronicles.com/things-to-do-in-nakai/
98,"Cost of Living in Da Nang for Expats (Dec. 2019)",living-in-da-nang,http://localhost/vietnamchronicles.com/living-in-da-nang/
99,"2 Days in Hanoi Itinerary - What to Do and Where to Stay?",2-days-in-hanoi,http://localhost/vietnamchronicles.com/2-days-in-hanoi/
100,"7 Fun & Delicious Things to Do in Hanoi at Night",things-to-do-in-hanoi-at-night,http://localhost/vietnamchronicles.com/things-to-do-in-hanoi-at-night/
101,"Pros and Cons of Living in Vietnam for Expats",pros-and-cons-of-living-in-vietnam,http://localhost/vietnamchronicles.com/pros-and-cons-of-living-in-vietnam/
102,"9 Jaw-Dropping Vietnam Temples You Can't Miss",vietnam-temples-guide,http://localhost/vietnamchronicles.com/vietnam-temples-guide/
103,"8 Best Street Food in Hanoi To Satiate Your Hunger!",street-food-in-hanoi,http://localhost/vietnamchronicles.com/street-food-in-hanoi/
104,"Learn About Colorful Coffee Culture in Vietnam",vietnamese-coffee-culture,http://localhost/vietnamchronicles.com/vietnamese-coffee-culture/
105,"Explore Ho Thuy Tien Abandoned Waterpark in Hue (2020)",abandoned-waterpark-hue,http://localhost/vietnamchronicles.com/abandoned-waterpark-hue/
106,"Balanced Vietnam Motorbike Route For First-Timers",vietnam-motorbike-route,http://localhost/vietnamchronicles.com/vietnam-motorbike-route/
107,"Battambang Day Trip: Phnom Sampeau, the Killing Caves, and the Bat Caves",killing-caves-battambang,http://localhost/vietnamchronicles.com/killing-caves-battambang/
108,"How To Get From Siem Reap To Battambang (and reverse)",siem-reap-to-battambang,http://localhost/vietnamchronicles.com/siem-reap-to-battambang/
109,"36 Most Common Scams in Vietnam",scams-in-vietnam,http://localhost/vietnamchronicles.com/scams-in-vietnam/
110,"Biker's Ultimate Guide for Ha Giang Loop",ha-giang-loop,http://localhost/vietnamchronicles.com/ha-giang-loop/
111,"Hanoi to Saigon Road Trip - Road Conditions and Route",hanoi-to-saigon,http://localhost/vietnamchronicles.com/hanoi-to-saigon/
112,"Ultimate Guide on Public Transportation in Vietnam",public-transportation-in-vietnam,http://localhost/vietnamchronicles.com/public-transportation-in-vietnam/
113,"5 Traditional Vietnam Coffee Types You Must Try",vietnam-coffee-types,http://localhost/vietnamchronicles.com/vietnam-coffee-types/
114,"50 Lifesaving Tips to Safely Travel Vietnam by Motorbike",vietnam-by-motorbike,http://localhost/vietnamchronicles.com/vietnam-by-motorbike/
115,"49 Culture Shocks You Will Experience in Vietnam",culture-shocks-in-vietnam,http://localhost/vietnamchronicles.com/culture-shocks-in-vietnam/
